name,department,reason
"Positivity Sports MI IPL Jersey New 2022-23","fashion","Duplicate ASIN"
"Jack & Jones Men's Slim Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Veirdo Unisex Cotton Half Sleeve Oversized Zebra Printed T-Shirt (Large) White","fashion","Duplicate ASIN"
"Levi's Men T-Shirt","fashion","Duplicate product title fingerprint"
"Jack & Jones Men's Slim Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Ben Martin Men's Denim Slim Fit Strechable Jeans","fashion","Duplicate product title fingerprint"
"Neostreak Men's Slim Fit Stretchable Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Styled Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"Supernova Inc. Men's Slim Fit Solid Jeans Stretchable","fashion","Duplicate product title fingerprint"
"Lee Men's Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Campus Sutra Men’s Classic Blue Dark-Washed Regular Fit Denim Jeans with Drawstring Premium Stretchable Cotton Mid-Rise Cr...","fashion","Missing both actual and discount prices"
"Ben Martin Men's Relaxed Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Lee Men's Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men's Slim Stretchable Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Spykar Men's Super Skinny Fit Jeans","fashion","Duplicate product title fingerprint"
"Red Tape Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Pepe Jeans Men Jeans","fashion","Duplicate ASIN"
"MM-21 Regular Fit Basic Denim Jeans for Men","fashion","Duplicate ASIN"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Allen Solly Men Jeans","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men Jeans","fashion","Duplicate product title fingerprint"
"Allen Solly Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men Jeans","fashion","Duplicate product title fingerprint"
"Urbano Fashion Men's Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Styled Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Styled Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Diverse Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Missing both actual and discount prices"
"Ben Martin Men's Regular Fit Denim Jeans","fashion","Duplicate product title fingerprint"
"KARGEENS Men Jeans","fashion","Duplicate product title fingerprint"
"Peter England Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men's Relaxed Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Lee Men's Regular Fit Jeans","fashion","Duplicate product title fingerprint"
"Lee Men's Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Wrangler Men's Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Urbano Fashion Men's Slim Fit Washed Jeans Stretchable","fashion","Duplicate product title fingerprint"
"Amazon Brand - Inkast Denim Co. Men Stretchable Jeans","fashion","Duplicate product title fingerprint"
"KARGEENS Men Jeans","fashion","Duplicate product title fingerprint"
"Wrangler Men's Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Allen Solly Men Jeans","fashion","Duplicate product title fingerprint"
"KARGEENS Men Jeans","fashion","Duplicate product title fingerprint"
"Peter England Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"Lee Men's Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Peter England Men Jeans","fashion","Duplicate product title fingerprint"
"Spykar Men's Super Skinny Fit Jeans","fashion","Duplicate product title fingerprint"
"Peter England Men Jeans","fashion","Duplicate product title fingerprint"
"Ben Martin Men Regular Jeans","fashion","Duplicate product title fingerprint"
"Amazon Brand - Inkast Denim Co. Men Stretchable Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"STUDIO NEXX Men's Regular Fit Stretch Jeans","fashion","Duplicate product title fingerprint"
"Ben Martin Men's Regular Fit Jeans","fashion","Duplicate product title fingerprint"
"Diverse Men Jeans","fashion","Duplicate product title fingerprint"
"Tommy Hilfiger Men's Regular Jeans","fashion","Duplicate product title fingerprint"
"KARGEENS Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"Pepe Jeans Men Jeans","fashion","Duplicate product title fingerprint"
"U.S. POLO ASSN. Men's Skinny Jeans","fashion","Missing both actual and discount prices"
"Spykar Men's Kano Fit Jeans","fashion","Duplicate product title fingerprint"
